OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost
SO - 0006313,1/1/2014,129,Export,USD,NXH382,128,16,8,"1,822.40","14,579.20","1,530.82"
SO - 0010604,1/1/2014,95,Wholesale,USD,NXH382,1,19,11,"5,078.60","55,864.60","4,113.67"
SO - 0008840,1/1/2014,156,Distributor,USD,AXW291,535,2,7,844.20,"5,909.40",616.27
SO - 0004336,1/1/2014,143,Export,USD,AXW291,654,14,9,268.00,"2,412.00",227.80
SO - 0005121,1/1/2014,88,Wholesale,USD,AXW291,542,30,6,"5,681.60","34,089.60","4,090.75"
SO - 0010233,1/1/2014,130,Distributor,USD,AXW291,824,2,7,"3,899.40","27,295.80","1,598.75"
SO - 0002206,1/1/2014,81,Wholesale,USD,AXW291,82,16,8,174.20,"1,393.60",109.75
SO - 0002543,1/1/2014,114,Export,USD,FLR025,191,14,9,"3,644.80","32,803.20","2,587.81"
SO - 0002921,1/1/2014,66,Wholesale,USD,AXW291,676,26,10,"5,875.90","58,759.00","4,289.41"
SO - 0003715,1/1/2014,78,Wholesale,USD,AXW291,452,26,10,"1,085.40","10,854.00",857.47
SO - 0004471,1/1/2014,82,Wholesale,USD,AXW291,356,14,12,"2,237.80","26,853.60",939.88
SO - 0004751,1/1/2014,161,Distributor,USD,NXH382,150,8,9,"1,172.50","10,552.50",515.90
SO - 0006833,1/1/2014,172,Export,USD,FLR025,701,4,7,"2,613.00","18,291.00","2,142.66"
SO - 0008532,1/1/2014,72,Wholesale,USD,GUT930,925,5,11,938.00,"10,318.00",675.36
SO - 0010560,1/1/2014,35,Export,USD,NXH382,528,16,6,"2,994.90","17,969.40","2,455.82"
SO - 0003527,1/2/2014,8,Wholesale,USD,AXW291,90,18,11,"1,701.80","18,719.80","1,429.51"
SO - 0003901,1/2/2014,92,Wholesale,USD,AXW291,754,25,5,"1,728.60","8,643.00","1,019.87"
SO - 0001098,1/2/2014,31,Wholesale,USD,AXW291,400,30,11,"1,675.00","18,425.00","1,155.75"
SO - 0001725,1/2/2014,143,Wholesale,USD,AXW291,460,15,8,"6,525.80","52,206.40","2,806.09"
SO - 0002795,1/2/2014,111,Wholesale,USD,AXW291,490,26,12,"3,872.60","46,471.20","2,517.19"
SO - 0003310,1/2/2014,81,Distributor,USD,FLR025,207,26,10,"1,038.50","10,385.00",529.64
SO - 0004126,1/2/2014,117,Wholesale,USD,AXW291,329,14,10,"3,041.80","30,418.00","2,038.01"
SO - 0005940,1/2/2014,69,Export,USD,GUT930,95,13,6,"5,212.60","31,275.60","2,814.80"
SO - 0006793,1/2/2014,84,Export,USD,AXW291,587,14,10,"3,953.00","39,530.00","3,043.81"
SO - 0007868,1/2/2014,144,Distributor,USD,AXW291,170,3,9,850.90,"7,658.10",433.96
SO - 0009934,1/2/2014,33,Export,USD,NXH382,923,3,11,"2,519.20","27,711.20","1,058.06"
SO - 000791,1/2/2014,130,Export,USD,AXW291,98,17,5,"3,108.80","15,544.00","1,896.37"
SO - 0003756,1/2/2014,136,Export,USD,AXW291,442,30,10,221.10,"2,211.00",128.24
SO - 0004390,1/2/2014,36,Export,USD,GUT930,272,16,6,"5,929.50","35,577.00","4,209.95"
SO - 0006241,1/2/2014,124,Wholesale,USD,AXW291,869,3,10,"1,065.30","10,653.00",628.53
SO - 0008226,1/2/2014,121,Wholesale,USD,AXW291,747,20,11,938.00,"10,318.00",684.74
SO - 0010346,1/2/2014,29,Export,USD,AXW291,272,4,5,"5,708.40","28,542.00","2,283.36"
SO - 0004104,1/2/2014,168,Wholesale,USD,NXH382,671,23,7,"3,839.10","26,873.70","2,457.02"
SO - 0005545,1/2/2014,115,Wholesale,USD,AXW291,256,2,8,"1,098.80","8,790.40",483.47
SO - 0005765,1/2/2014,113,Distributor,USD,AXW291,90,13,7,"5,688.30","39,818.10","2,502.85"
SO - 0006767,1/2/2014,105,Distributor,USD,GUT930,31,16,10,"1,983.20","19,832.00","1,269.25"
SO - 0006883,1/2/2014,175,Distributor,USD,GUT930,322,7,12,"1,246.20","14,954.40",834.95
SO - 0007017,1/2/2014,139,Distributor,USD,NXH382,787,5,9,"3,825.70","34,431.30","2,486.71"
SO - 0007493,1/2/2014,94,Wholesale,USD,GUT930,296,18,8,"2,351.70","18,813.60","1,293.44"
SO - 0008686,1/2/2014,146,Export,USD,NXH382,235,21,7,"3,189.20","22,324.40","2,647.04"
SO - 0008746,1/2/2014,128,Distributor,USD,AXW291,479,16,10,"2,244.50","22,445.00",920.25
SO - 0001523,1/2/2014,82,Distributor,USD,GUT930,254,25,5,"6,137.20","30,686.00","4,234.67"
SO - 0002194,1/2/2014,159,Wholesale,USD,AXW291,339,20,7,"2,680.00","18,760.00","1,098.80"
SO - 0002824,1/2/2014,150,Wholesale,USD,AXW291,45,15,8,"1,092.10","8,736.80",589.73
SO - 0002859,1/2/2014,12,Distributor,USD,FLR025,481,8,11,"1,688.40","18,572.40",776.66
SO - 0003113,1/2/2014,101,Wholesale,USD,GUT930,205,25,8,"1,802.30","14,418.40","1,297.66"
SO - 0004190,1/2/2014,133,Wholesale,USD,AXW291,861,13,10,"3,946.30","39,463.00","2,249.39"
SO - 0004531,1/2/2014,38,Distributor,USD,AXW291,586,12,6,"3,932.90","23,597.40","2,084.44"
SO - 0004734,1/2/2014,24,Distributor,USD,AXW291,752,11,9,"1,105.50","9,949.50",486.42
SO - 0005505,1/2/2014,56,Wholesale,USD,GUT930,924,21,6,"1,802.30","10,813.80","1,315.68"
SO - 0006105,1/2/2014,38,Export,USD,AXW291,330,14,11,"1,896.10","20,857.10",777.40
SO - 0007660,1/2/2014,140,Wholesale,USD,AXW291,541,27,5,"2,921.20","14,606.00","2,103.26"
SO - 0009316,1/2/2014,93,Wholesale,USD,AXW291,81,11,11,"2,867.60","31,543.60","1,319.10"
SO - 0009694,1/2/2014,44,Wholesale,USD,AXW291,632,14,10,911.20,"9,112.00",637.84
SO - 0008905,1/2/2014,43,Wholesale,USD,GUT930,408,2,7,"1,092.10","7,644.70",589.73
SO - 0010547,1/2/2014,107,Wholesale,USD,FLR025,956,27,7,207.70,"1,453.90",176.55
SO - 0001033,1/2/2014,146,Wholesale,USD,AXW291,115,25,9,"2,552.70","22,974.30","2,093.21"
SO - 0007387,1/2/2014,166,Wholesale,USD,NXH382,919,26,8,938.00,"7,504.00",731.64
SO - 0009903,1/2/2014,11,Wholesale,USD,AXW291,618,11,11,"3,973.10","43,704.10","3,337.40"
SO - 0002911,1/3/2014,37,Wholesale,USD,AXW291,346,15,6,911.20,"5,467.20",665.18
SO - 0003775,1/3/2014,39,Distributor,USD,AXW291,149,18,12,891.10,"10,693.20",516.84
SO - 0004386,1/3/2014,57,Distributor,USD,AXW291,478,19,9,"1,045.20","9,406.80",418.08
SO - 0004792,1/3/2014,141,Wholesale,USD,AXW291,219,1,6,167.50,"1,005.00",83.75
SO - 0005414,1/3/2014,152,Wholesale,USD,AXW291,989,25,7,"1,835.80","12,850.60","1,413.57"
SO - 0005609,1/3/2014,58,Distributor,USD,AXW291,130,10,7,"3,966.40","27,764.80","1,903.87"
SO - 0006308,1/3/2014,78,Wholesale,USD,AXW291,29,28,8,214.40,"1,715.20",124.35
SO - 0006534,1/3/2014,151,Distributor,USD,AXW291,344,15,9,"5,152.30","46,370.70","3,709.66"
SO - 0007139,1/3/2014,159,Wholesale,USD,AXW291,545,2,6,"2,418.70","14,512.20","1,910.77"
SO - 0001045,1/3/2014,85,Export,USD,NXH382,919,30,12,"1,125.60","13,507.20",529.03
SO - 0002195,1/3/2014,37,Wholesale,USD,AXW291,536,15,7,"1,675.00","11,725.00",686.75
SO - 0002314,1/3/2014,29,Wholesale,USD,GUT930,405,14,5,"6,304.70","31,523.50","2,774.07"
SO - 0004070,1/3/2014,39,Distributor,USD,NXH382,844,19,6,"2,646.50","15,879.00","1,243.86"
SO - 0006097,1/3/2014,155,Wholesale,USD,NXH382,823,25,8,"2,010.00","16,080.00","1,386.90"
SO - 0010022,1/3/2014,100,Wholesale,USD,AXW291,670,2,5,247.90,"1,239.50",185.93
SO - 0010373,1/3/2014,115,Wholesale,USD,AXW291,719,25,10,"3,906.10","39,061.00","2,695.21"
SO - 0009496,1/3/2014,19,Distributor,USD,GUT930,992,25,6,"5,386.80","32,320.80","3,070.48"
SO - 0010605,1/3/2014,22,Wholesale,USD,NXH382,339,5,5,"1,065.30","5,326.50",543.30
SO - 000717,1/3/2014,58,Wholesale,USD,AXW291,493,22,5,"2,291.40","11,457.00","1,581.07"
SO - 0002802,1/3/2014,60,Distributor,USD,AXW291,411,25,7,"2,559.40","17,915.80","1,612.42"
SO - 0003853,1/3/2014,113,Distributor,USD,NXH382,692,3,9,"1,809.00","16,281.00","1,338.66"
SO - 0004109,1/3/2014,160,Wholesale,USD,AXW291,179,13,9,"1,989.90","17,909.10","1,591.92"
SO - 0004622,1/3/2014,15,Wholesale,USD,GUT930,421,3,11,"2,318.20","25,500.20","1,947.29"
SO - 0004965,1/3/2014,68,Distributor,USD,AXW291,541,4,7,"3,825.70","26,779.90","1,874.59"
SO - 0005431,1/3/2014,165,Wholesale,USD,NXH382,811,20,5,"5,514.10","27,570.50","2,536.49"
SO - 0007483,1/3/2014,169,Distributor,USD,NXH382,539,25,9,944.70,"8,502.30",566.82
SO - 0009671,1/3/2014,98,Distributor,USD,AXW291,426,5,7,"1,105.50","7,738.50",928.62
SO - 000187,1/3/2014,136,Wholesale,USD,FLR025,507,13,5,891.10,"4,455.50",632.68
SO - 000198,1/3/2014,19,Export,USD,FLR025,227,30,11,"2,472.30","27,195.30","1,433.93"
SO - 0003309,1/3/2014,146,Export,USD,AXW291,617,19,7,"2,351.70","16,461.90","1,622.67"
SO - 0003348,1/3/2014,8,Wholesale,USD,AXW291,488,8,12,884.40,"10,612.80",477.58
SO - 0003548,1/3/2014,173,Export,USD,NXH382,678,26,7,"1,172.50","8,207.50",644.88
SO - 0004273,1/3/2014,9,Wholesale,USD,NXH382,883,13,8,"3,832.40","30,659.20","3,219.22"
SO - 0005395,1/3/2014,112,Distributor,USD,FLR025,369,25,9,"1,011.70","9,105.30",536.20
SO - 0010342,1/3/2014,71,Wholesale,USD,AXW291,301,5,9,"1,916.20","17,245.80","1,034.75"
SO - 0008833,1/3/2014,126,Wholesale,USD,NXH382,292,4,10,"6,371.70","63,717.00","2,803.55"
SO - 0008201,1/3/2014,105,Distributor,USD,AXW291,150,26,8,"3,356.70","26,853.60","1,879.75"
SO - 0008587,1/3/2014,25,Wholesale,USD,FLR025,528,14,5,227.80,"1,139.00",186.80
SO - 0009558,1/3/2014,108,Distributor,USD,NXH382,223,22,10,"1,232.80","12,328.00",862.96
SO - 0001941,1/3/2014,160,Distributor,USD,GUT930,582,5,12,"1,038.50","12,462.00",581.56
SO - 0001966,1/3/2014,174,Wholesale,USD,AXW291,362,3,10,"1,172.50","11,725.00",973.18
SO - 0002436,1/3/2014,157,Distributor,USD,FLR025,872,27,11,"3,859.20","42,451.20","1,736.64"
SO - 0003555,1/3/2014,120,Distributor,USD,AXW291,476,6,11,"1,829.10","20,120.10",859.68
SO - 0004288,1/3/2014,29,Export,USD,AXW291,190,3,5,221.10,"1,105.50",152.56
SO - 0004460,1/3/2014,108,Wholesale,USD,GUT930,681,20,12,"5,688.30","68,259.60","4,152.46"
SO - 0004900,1/3/2014,114,Wholesale,USD,GUT930,744,2,10,"2,405.30","24,053.00",986.17
SO - 0005729,1/3/2014,146,Wholesale,USD,NXH382,611,13,10,"3,825.70","38,257.00","1,836.34"
SO - 0005909,1/3/2014,4,Wholesale,USD,AXW291,779,17,9,"3,859.20","34,732.80","1,813.82"
SO - 0008255,1/3/2014,88,Wholesale,USD,AXW291,161,30,6,"5,681.60","34,089.60","4,090.75"
SO - 000105,1/3/2014,143,Wholesale,USD,AXW291,804,13,6,"1,822.40","10,934.40","1,476.14"
SO - 0003563,1/3/2014,160,Wholesale,USD,GUT930,202,1,12,"1,165.80","13,989.60",827.72
SO - 0004526,1/3/2014,175,Export,USD,FLR025,952,5,5,"3,993.20","19,966.00","2,635.51"
SO - 0010280,1/3/2014,124,Export,USD,NXH382,66,18,8,"1,058.60","8,468.80",529.30
SO - 0010404,1/3/2014,45,Wholesale,USD,AXW291,62,19,12,"2,472.30","29,667.60","1,236.15"
SO - 0009276,1/3/2014,175,Distributor,USD,GUT930,790,3,7,"1,688.40","11,818.80","1,215.65"
SO - 000450,1/4/2014,47,Wholesale,USD,AXW291,378,25,7,"1,078.70","7,550.90",906.11
SO - 0001724,1/4/2014,88,Wholesale,USD,AXW291,462,25,11,"1,038.50","11,423.50",633.49
SO - 0002078,1/4/2014,50,Wholesale,USD,AXW291,119,29,5,"3,999.90","19,999.50","3,279.92"
SO - 0002795,1/4/2014,111,Wholesale,USD,AXW291,115,26,12,"3,872.60","46,471.20","2,517.19"
SO - 0004247,1/4/2014,56,Export,USD,AXW291,173,24,6,"3,879.30","23,275.80","2,056.03"
SO - 0004592,1/4/2014,21,Wholesale,USD,AXW291,48,12,12,"5,406.90","64,882.80","3,676.69"
SO - 0005716,1/4/2014,7,Wholesale,USD,AXW291,712,20,12,234.50,"2,814.00",189.95
SO - 0006790,1/4/2014,100,Wholesale,USD,AXW291,531,12,10,"2,532.60","25,326.00","1,696.84"
SO - 0006962,1/4/2014,126,Distributor,USD,AXW291,559,4,9,"2,720.20","24,481.80","1,251.29"
SO - 0007587,1/4/2014,134,Export,USD,AXW291,216,13,10,"2,391.90","23,919.00","1,363.38"
SO - 0008464,1/4/2014,44,Distributor,USD,GUT930,466,15,5,"3,852.50","19,262.50","1,695.10"
SO - 0008999,1/4/2014,126,Distributor,USD,AXW291,743,15,8,"5,601.20","44,809.60","2,632.56"
SO - 0001629,1/4/2014,116,Distributor,USD,NXH382,749,13,8,"2,787.20","22,297.60","1,254.24"
SO - 0004196,1/4/2014,11,Distributor,USD,GUT930,397,1,6,"1,011.70","6,070.20",829.59
SO - 0004344,1/4/2014,45,Distributor,USD,AXW291,899,6,8,"5,447.10","43,576.80","2,723.55"
SO - 0004511,1/4/2014,17,Distributor,USD,AXW291,743,28,10,"1,239.50","12,395.00",942.02
SO - 0006153,1/4/2014,80,Wholesale,USD,AXW291,89,18,11,"1,078.70","11,865.70",852.17
SO - 0006716,1/4/2014,131,Distributor,USD,AXW291,632,26,8,207.70,"1,661.60",93.47
SO - 0007510,1/4/2014,131,Wholesale,USD,AXW291,710,5,9,"3,035.10","27,315.90","1,335.44"
SO - 0010159,1/4/2014,60,Export,USD,GUT930,16,25,9,"2,485.70","22,371.30","1,043.99"
SO - 0010333,1/4/2014,52,Export,USD,AXW291,429,4,9,"1,005.00","9,045.00",663.30
SO - 0009096,1/4/2014,94,Wholesale,USD,AXW291,400,25,9,"5,594.50","50,350.50","4,083.99"
SO - 000725,1/4/2014,89,Wholesale,USD,AXW291,274,26,9,"2,512.50","22,612.50","1,658.25"
SO - 0002445,1/4/2014,67,Distributor,USD,AXW291,981,13,11,"1,005.00","11,055.00",814.05
SO - 0002523,1/4/2014,15,Export,USD,AXW291,799,1,5,"3,999.90","19,999.50","1,639.96"
SO - 0003936,1/4/2014,29,Wholesale,USD,FLR025,693,21,10,"2,003.30","20,033.00","1,282.11"
SO - 0006597,1/4/2014,62,Export,USD,NXH382,416,24,5,"1,922.90","9,614.50","1,538.32"
SO - 0008954,1/4/2014,126,Distributor,USD,AXW291,731,19,10,"3,939.60","39,396.00","3,348.66"
SO - 0008682,1/4/2014,135,Wholesale,USD,AXW291,276,4,8,"3,819.00","30,552.00","2,635.11"
SO - 0009909,1/4/2014,45,Wholesale,USD,AXW291,355,25,10,"1,045.20","10,452.00",679.38
SO - 0010192,1/4/2014,29,Wholesale,USD,AXW291,432,29,11,"1,031.80","11,349.80",567.49
SO - 0002164,1/4/2014,95,Wholesale,USD,AXW291,941,6,11,"3,772.10","41,493.10","3,093.12"
SO - 0004885,1/4/2014,2,Distributor,USD,FLR025,121,2,8,"1,139.00","9,112.00",501.16
SO - 0005897,1/4/2014,41,Wholesale,USD,FLR025,643,2,12,857.60,"10,291.20",548.86
SO - 0010083,1/4/2014,30,Distributor,USD,AXW291,347,6,10,"1,192.60","11,926.00",954.08
SO - 0010369,1/4/2014,100,Wholesale,USD,NXH382,104,14,11,"6,492.30","71,415.30","3,895.38"
SO - 0001080,1/4/2014,111,Distributor,USD,FLR025,185,26,7,"3,886.00","27,202.00","2,215.02"
SO - 0001979,1/4/2014,51,Distributor,USD,GUT930,78,2,12,"1,835.80","22,029.60","1,193.27"
SO - 0003540,1/4/2014,25,Export,USD,GUT930,431,4,5,"1,078.70","5,393.50",528.56
SO - 0005049,1/4/2014,148,Export,USD,NXH382,955,2,10,"3,343.30","33,433.00","2,240.01"
SO - 0006302,1/4/2014,63,Export,USD,AXW291,540,18,10,"3,953.00","39,530.00","3,360.05"
SO - 0006801,1/4/2014,37,Distributor,USD,AXW291,492,26,9,"1,072.00","9,648.00",621.76
SO - 0007533,1/4/2014,117,Wholesale,USD,AXW291,969,4,6,"2,371.80","14,230.80","1,209.62"
SO - 0003174,1/4/2014,51,Distributor,USD,NXH382,217,15,11,"6,150.60","67,656.60","4,920.48"
SO - 0003330,1/4/2014,9,Export,USD,AXW291,378,5,9,"1,306.50","11,758.50",535.67
SO - 0006166,1/4/2014,111,Wholesale,USD,GUT930,394,2,9,"6,458.80","58,129.20","5,489.98"
SO - 0006226,1/4/2014,154,Wholesale,USD,GUT930,281,15,9,"1,125.60","10,130.40",810.43
SO - 0007158,1/4/2014,68,Wholesale,USD,GUT930,501,23,8,"2,479.00","19,832.00","1,884.04"
SO - 0008762,1/4/2014,160,Wholesale,USD,GUT930,139,8,9,"3,892.70","35,034.30","2,257.77"
SO - 000848,1/5/2014,28,Wholesale,USD,AXW291,515,15,9,"2,217.70","19,959.30","1,596.74"
SO - 0002922,1/5/2014,145,Wholesale,USD,AXW291,961,25,6,247.90,"1,487.40",123.95
SO - 0004967,1/5/2014,77,Distributor,USD,AXW291,555,16,12,"3,845.80","46,149.60","2,230.56"
SO - 0005582,1/5/2014,118,Wholesale,USD,AXW291,905,3,7,"2,539.30","17,775.10","1,625.15"
SO - 0005751,1/5/2014,163,Wholesale,USD,AXW291,654,2,5,"1,943.00","9,715.00","1,651.55"
SO - 0006419,1/5/2014,112,Distributor,USD,AXW291,439,14,10,"1,058.60","10,586.00",666.92
SO - 0008408,1/5/2014,59,Distributor,USD,AXW291,690,26,7,"3,966.40","27,764.80","2,379.84"
SO - 0009501,1/5/2014,80,Wholesale,USD,NXH382,65,13,11,783.90,"8,622.90",399.79
SO - 0001410,1/5/2014,139,Distributor,USD,AXW291,753,14,7,180.90,"1,266.30",85.02
SO - 0002573,1/5/2014,35,Distributor,USD,NXH382,698,20,7,"5,306.40","37,144.80","4,351.25"
SO - 0004669,1/5/2014,117,Distributor,USD,GUT930,495,21,10,"6,210.90","62,109.00","2,857.01"
SO - 0005733,1/5/2014,80,Wholesale,USD,NXH382,155,17,11,"2,726.90","29,995.90","1,636.14"
SO - 0007362,1/5/2014,126,Export,USD,AXW291,223,19,6,"1,031.80","6,190.80",433.36
SO - 0008890,1/5/2014,138,Export,USD,AXW291,325,3,5,"3,631.40","18,157.00","1,561.50"
SO - 0009788,1/5/2014,131,Distributor,USD,GUT930,781,13,10,"2,827.40","28,274.00","2,261.92"
SO - 0009911,1/5/2014,78,Distributor,USD,AXW291,51,17,5,911.20,"4,556.00",446.49
SO - 000201,1/5/2014,121,Wholesale,USD,AXW291,516,25,6,"1,983.20","11,899.20","1,447.74"
SO - 0002018,1/5/2014,90,Wholesale,USD,AXW291,754,6,7,"2,365.10","16,555.70","1,087.95"
SO - 0003671,1/5/2014,27,Wholesale,USD,AXW291,797,27,5,"3,343.30","16,716.50","1,370.75"
SO - 0004962,1/5/2014,109,Distributor,USD,GUT930,324,13,8,"5,996.50","47,972.00","5,097.03"
SO - 0007547,1/5/2014,141,Wholesale,USD,FLR025,968,2,5,221.10,"1,105.50",101.71
SO - 0010693,1/5/2014,21,Wholesale,USD,AXW291,801,3,9,"3,289.70","29,607.30","2,500.17"
SO - 0008591,1/5/2014,24,Distributor,USD,AXW291,672,25,9,797.30,"7,175.70",422.57
SO - 0008286,1/5/2014,55,Wholesale,USD,AXW291,901,25,5,"1,782.20","8,911.00","1,354.47"
SO - 0001079,1/5/2014,143,Wholesale,USD,FLR025,872,7,11,"1,005.00","11,055.00",623.10
SO - 0001280,1/5/2014,36,Distributor,USD,NXH382,415,17,7,931.30,"6,519.10",391.15
SO - 0002132,1/5/2014,38,Wholesale,USD,NXH382,123,6,7,"1,775.50","12,428.50",727.96
SO - 0003300,1/5/2014,38,Wholesale,USD,GUT930,950,4,10,"1,018.40","10,184.00",539.75
SO - 0003830,1/5/2014,46,Export,USD,NXH382,794,17,11,187.60,"2,063.60",80.67
SO - 0006704,1/5/2014,12,Wholesale,USD,GUT930,693,20,9,"5,085.30","45,767.70","3,661.42"
SO - 0007421,1/5/2014,26,Wholesale,USD,FLR025,400,5,10,"3,839.10","38,391.00","2,303.46"
SO - 0007832,1/5/2014,76,Distributor,USD,AXW291,17,26,11,"1,266.30","13,929.30",848.42
SO - 0010609,1/5/2014,115,Export,USD,GUT930,167,25,12,951.40,"11,416.80",780.15
SO - 000490,1/5/2014,159,Wholesale,USD,AXW291,164,26,7,234.50,"1,641.50",187.60
SO - 0001318,1/5/2014,125,Wholesale,USD,NXH382,508,14,8,"1,983.20","15,865.60","1,487.40"
SO - 0001795,1/5/2014,82,Wholesale,USD,GUT930,405,13,9,"4,006.60","36,059.40","3,205.28"
SO - 0002695,1/5/2014,141,Wholesale,USD,FLR025,106,17,5,234.50,"1,172.50",173.53
SO - 0003660,1/5/2014,121,Distributor,USD,AXW291,275,10,9,"5,226.00","47,034.00","3,814.98"
SO - 0005440,1/5/2014,117,Distributor,USD,GUT930,640,5,11,917.90,"10,096.90",706.78
SO - 0005573,1/5/2014,100,Wholesale,USD,NXH382,845,14,5,"2,378.50","11,892.50","1,974.16"
SO - 0006929,1/5/2014,55,Wholesale,USD,GUT930,496,9,11,"2,666.60","29,332.60","2,239.94"
SO - 0008546,1/5/2014,101,Export,USD,AXW291,187,16,7,757.10,"5,299.70",499.69
SO - 0008664,1/5/2014,39,Wholesale,USD,AXW291,893,19,10,"1,092.10","10,921.00",556.97
SO - 0008494,1/5/2014,154,Export,USD,NXH382,371,26,11,"1,065.30","11,718.30",490.04
SO - 0010420,1/5/2014,84,Wholesale,USD,AXW291,322,1,8,"1,038.50","8,308.00",830.80
SO - 000460,1/5/2014,47,Wholesale,USD,AXW291,767,16,5,"1,728.60","8,643.00",708.73
SO - 0002439,1/5/2014,20,Distributor,USD,GUT930,217,8,8,"1,775.50","14,204.00","1,047.55"
SO - 0003678,1/5/2014,142,Wholesale,USD,NXH382,445,26,5,"1,232.80","6,164.00",505.45
SO - 0005861,1/5/2014,136,Export,USD,FLR025,235,14,5,"1,869.30","9,346.50",972.04
SO - 0010490,1/5/2014,167,Distributor,USD,AXW291,874,13,7,"1,085.40","7,597.80",846.61
SO - 0001219,1/6/2014,6,Wholesale,USD,AXW291,608,14,5,180.90,904.50,130.25
SO - 0001259,1/6/2014,10,Distributor,USD,AXW291,373,19,8,"3,825.70","30,605.60","2,601.48"
SO - 0001802,1/6/2014,81,Distributor,USD,AXW291,388,18,9,"1,159.10","10,431.90",533.19
SO - 0002564,1/6/2014,28,Wholesale,USD,AXW291,857,3,12,167.50,"2,010.00",103.85
SO - 0002932,1/6/2014,123,Wholesale,USD,AXW291,584,15,5,"1,112.20","5,561.00",544.98
SO - 0004007,1/6/2014,54,Wholesale,USD,AXW291,927,21,11,"1,011.70","11,128.70",586.79
SO - 0005147,1/6/2014,34,Export,USD,AXW291,515,19,6,"1,065.30","6,391.80",777.67
SO - 0007099,1/6/2014,130,Distributor,USD,AXW291,329,2,7,"3,899.40","27,295.80","1,598.75"
SO - 0008693,1/6/2014,119,Wholesale,USD,FLR025,865,10,9,"6,050.10","54,450.90","3,025.05"
SO - 000343,1/6/2014,70,Wholesale,USD,AXW291,258,25,11,"6,391.80","70,309.80","4,793.85"
SO - 0003171,1/6/2014,95,Distributor,USD,NXH382,259,6,11,"3,966.40","43,630.40","2,816.14"
SO - 0004230,1/6/2014,117,Export,USD,AXW291,178,2,12,"1,889.40","22,672.80",888.02
SO - 0007706,1/6/2014,51,Export,USD,NXH382,346,21,6,864.30,"5,185.80",579.08
SO - 0008142,1/6/2014,155,Distributor,USD,AXW291,3,2,11,850.90,"9,359.90",697.74
SO - 0009260,1/6/2014,63,Distributor,USD,AXW291,739,13,9,"1,092.10","9,828.90",709.87
SO - 0008352,1/6/2014,48,Wholesale,USD,AXW291,837,25,10,"3,872.60","38,726.00","2,517.19"
SO - 000365,1/6/2014,29,Distributor,USD,NXH382,278,25,5,"1,018.40","5,092.00",753.62
SO - 0001448,1/6/2014,52,Wholesale,USD,AXW291,700,19,8,"4,020.00","32,160.00","3,015.00"
